#{"t_start": 1721932980.5830736, "env_id": "None"}
r,l,t
-441.26062,301,356.539107
-370.8151,301,356.539107
-409.10876,301,356.539107
-400.62732,301,356.539107
-390.79892,301,362.303723
-377.3721,301,362.303723
-365.9124,301,362.303723
-391.20132,301,362.303723
-370.37396,301,368.034009
-372.07248,301,368.034009
-349.78137,301,368.034009
-388.8607,301,368.034009
-375.83524,301,373.800294
-446.02325,301,373.800294
-352.19568,301,373.800294
-356.9279,301,373.800294
-380.18555,301,379.55775
-355.89218,301,379.55775
-405.392,301,379.55775
-422.0003,301,379.55775
-337.62057,301,385.294677
-416.6367,301,385.294677
-373.72342,301,385.294677
-425.35495,301,385.294677
-362.38086,301,391.055103
-412.98993,301,391.055103
-363.68274,301,391.055103
-358.30222,301,391.055103
-388.25998,301,396.760683
-443.5222,301,396.760683
-445.89566,301,396.760683
-344.7801,301,396.760683
-409.8345,301,402.578482
-415.12177,301,402.578482
-358.64026,301,402.578482
-340.41452,301,402.578482
-403.73038,301,409.114304
-378.15036,301,409.121139
-436.3694,301,409.121237
-393.58978,301,409.121237
-394.1635,301,415.248196
-439.71713,301,415.248196
-383.97937,301,415.248196
-359.94043,301,415.248196
-466.3767,301,421.176535
-355.85953,301,421.185047
-383.26218,301,421.185047
-385.61877,301,421.185047
-435.08398,301,426.860084
-402.80164,301,426.860084
-344.49368,301,426.860084
-371.5819,301,426.860084
-348.6843,301,433.512912
-384.23343,301,433.512912
-355.33292,301,433.512912
-387.05933,301,433.512912
-394.61176,301,439.412629
-388.27637,301,439.412629
-406.6792,301,439.412629
-351.71216,301,439.412629
-390.37753,301,445.120232
-414.94043,301,445.128232
-353.3293,301,445.128232
-375.42987,301,445.128232
-390.2432,301,450.847696
-348.148,301,450.847696
-434.01236,301,450.847696
-421.7428,301,450.847696
-400.87225,301,456.627878
-333.36218,301,456.627878
-364.90527,301,456.627878
-367.9042,301,456.627878
-366.5623,301,462.479607
-377.51395,301,462.479607
-359.2471,301,462.479607
-372.2038,301,462.479607
-389.14798,301,468.303259
-383.29068,301,468.303259
-381.21558,301,468.303259
-385.63766,301,468.303259
-393.2628,301,474.146153
-355.79037,301,474.146153
-400.04425,301,474.146153
-436.54123,301,474.146153
-397.59198,301,480.014821
-409.5491,301,480.014821
-385.64105,301,480.014821
-352.37292,301,480.014821
-396.57092,301,485.868391
-386.2915,301,485.868391
-330.7627,301,485.868391
-430.54385,301,485.868391
-364.87933,301,491.623235
-375.7993,301,491.623235
-361.02515,301,491.623235
-397.44238,301,491.623235
-385.2241,301,497.590936
-358.84158,301,497.590936
-364.04773,301,497.590936
-388.01013,301,497.590936
-352.0843,301,503.323074
-360.68124,301,503.323074
-446.43298,301,503.323074
-396.94424,301,503.323074
-392.385,301,509.246466
-363.27682,301,509.246466
-396.1616,301,509.246466
-352.07452,301,509.246466
-380.62796,301,514.930849
-328.38828,301,514.930849
-403.24457,301,514.930849
-396.64316,301,514.930849
-361.7554,301,520.585394
-384.6718,301,520.585394
-381.74597,301,520.585394
-354.5095,301,520.585394
-367.1686,301,526.255578
-436.56137,301,526.255578
-343.34882,301,526.255578
-349.38293,301,526.255578
-432.26093,301,531.934383
-355.2304,301,531.934383
-392.81592,301,531.934383
-372.4399,301,531.934383
-357.587,301,537.603773
-453.47653,301,537.603773
-355.19107,301,537.603773
-365.7948,301,537.603773
-390.29584,301,543.407818
-353.40784,301,543.407818
-375.77026,301,543.407818
-357.302,301,543.407818
-357.60223,301,549.172317
-388.0076,301,549.172317
-418.10846,301,549.172317
-367.70728,301,549.172317
-452.2765,301,554.967697
-339.37234,301,554.967697
-378.79858,301,554.967697
-396.9294,301,554.967697
-387.47723,301,560.881735
-401.3321,301,560.881735
-398.8208,301,560.881735
-435.7135,301,560.881735
-386.68814,301,566.548925
-450.94165,301,566.548925
-350.53363,301,566.548925
-407.5443,301,566.548925
-368.33224,301,572.26324
-394.6567,301,572.26324
-446.00186,301,572.26324
-370.0621,301,572.266709
-360.54462,301,577.950775
-328.9939,301,577.950775
-347.1934,301,577.950775
-354.04694,301,577.950775
-360.86386,301,583.731827
-381.4369,301,583.731827
-381.8143,301,583.731827
-382.88904,301,583.731827
-411.6857,301,589.561058
-369.5668,301,589.561058
-360.84183,301,589.561058
-372.6011,301,589.561058
-354.50754,301,595.383283
-381.91748,301,595.383283
